codigo_municipio,departamento,municipio,poblacion,hogares,pct_hogar_rural,pct_hogar_indigena,NBI
0308,Sacatepéquez,San Lucas Sacatepéquez,30593,5937,10.98,10.42,22
0309,Sacatepéquez,Santa Lucía Milpas Altas,18753,3863,20.92,5.59,19
0310,Sacatepéquez,Magdalena Milpas Altas,13162,2593,33.28,27.44,27
0311,Sacatepéquez,Santa María de Jesús,28154,4316,0.88,98.35,50
0312,Sacatepéquez,Ciudad Vieja,45388,8027,1.68,2.57,31
0313,Sacatepéquez,San Miguel Dueñas,17179,3013,13.87,7.37,29
0314,Sacatepéquez,San Juan Alotenango,29737,5384,2.67,44.81,54
0315,Sacatepéquez,San Antonio Aguas Calientes,14131,2674,14.21,88.35,36
0316,Sacatepéquez,Santa Catarina Barahona,5010,987,0,90.03,44
0401,Chimaltenango,Chimaltenango,124073,20939,0,64.04,42
0402,Chimaltenango,San José Poaquil,35727,5230,63.33,96.41,43
0403,Chimaltenango,San Martín Jilotepeque,100109,14764,84.33,89.21,38
0404,Chimaltenango,San Juan Comalapa,66094,9983,31.74,97.34,44
0405,Chimaltenango,Santa Apolonia,24808,3339,85.92,92.84,46
0406,Chimaltenango,Tecpán Guatemala,120468,16625,60.12,92.73,50
0407,Chimaltenango,Patzún,75978,12245,49.9,95.27,50
0408,Chimaltenango,San Miguel Pochuta,11748,1907,47.98,27.74,44
0409,Chimaltenango,Patzicía,43635,7337,35,90.46,62
0410,Chimaltenango,Santa Cruz Balanyá,11608,2019,82.76,96.38,29
0411,Chimaltenango,Acatenango,30119,4987,46.02,65.99,42
0412,Chimaltenango,San Pedro Yepocapa,46291,7219,50.3,64.49,42
0413,Chimaltenango,San Andrés Itzapa,37501,6652,20.82,72.1,33
0414,Chimaltenango,Parramos,22503,3541,24.99,50.9,39
0415,Chimaltenango,Zaragoza,31890,5578,49.87,30.68,18
0416,Chimaltenango,El Tejar,26117,4438,18.25,33.52,19
0501,Escuintla,Escuintla,178203,39403,0,3.99,46
0502,Escuintla,Santa Lucía Cotzumalguapa,134608,26815,46.45,3.92,44
0503,Escuintla,La Democracia,26620,5949,41.25,2.91,55
0504,Escuintla,Siquinalá,27629,5507,18.07,6.94,52
0505,Escuintla,Masagua,50577,11692,62.59,2.87,52
0506,Escuintla,Tiquisate,66299,14640,47.74,3.45,48
0507,Escuintla,La Gomera,57548,11790,42.63,3.2,41
0508,Escuintla,Guanagazapa,17930,3574,74.34,17.79,52
0509,Escuintla,San José,72156,17161,61.94,3.44,31
0510,Escuintla,Iztapa,21534,4897,72.88,1.72,32
0511,Escuintla,Palín,76113,16023,5.46,21.47,35
0512,Escuintla,San Vicente Pacaya,19342,4280,45.63,4.97,62
0513,Escuintla,Nueva Concepción,85858,18358,77.54,1.87,49
0514,Escuintla,Sipacate,19698,4185,37.59,2.55,50
0601,Santa Rosa,Cuilapa,49215,10065,0,6.67,51
0602,Santa Rosa,Barberena,64335,14248,18.98,3.85,56
0603,Santa Rosa,Santa Rosa de Lima,22828,4982,81.83,28.34,24
0604,Santa Rosa,Casillas,27101,6088,68.56,58.28,35
0605,Santa Rosa,San Rafael Las Flores,14972,3111,67.82,26.5,32
0606,Santa Rosa,Oratorio,29191,6248,58.42,3.21,36
0607,Santa Rosa,San Juan Tecuaco,13938,2117,68.35,36.53,47
0608,Santa Rosa,Chiquimulilla,69549,13834,64.28,7.81,36
0609,Santa Rosa,Taxisco,39857,7524,68.27,3.86,41
0610,Santa Rosa,Santa María Ixhuatán,27374,5912,79.89,9.05,53
0611,Santa Rosa,Guazacapán,23569,4575,33.68,24.29,46
0612,Santa Rosa,Santa Cruz Naranjo,19374,4116,64.99,8.48,42
0613,Santa Rosa,Pueblo Nuevo Viñas,29917,6199,84.56,2.73,45
